reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
c659f6d5-1256-48eb-9ffb-b5d14f4feea9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"shopee vip tapi dibatasi brutal, jadi ga dapet benefitnya dong hadeehhh",1,0,3.77.26,2026-07-06 01:38:25,"Haii kak Rd Arga Arzula maaf ya udah buat kakak ga nyaman terkait buka Shopee langsung live. Agar aku bisa bantu cek kendalanya infoin ke aku Username, SS kendala dan detail kendala kakak boleh chat aku di DM @shopee_id ya kak. Ditunggu ^RA",2025-09-30 05:30:04,3.77.26
6558c37c-4c47-4b74-aed5-c72ac282c493,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,iklan nya ngeselin banget,1,0,,2026-07-06 01:38:17,,,
f58fe9f2-cd68-411f-b857-32a87e6e2970,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"pelayanan lebih meningkat, harus lebih banyak diskon",5,0,3.77.26,2026-07-06 01:36:20,"Hai kak, terimakasih yaa buat review dan bintang 5nya ya juga.. Semoga Shopee bisa terus kasih pelayanan yang paling mantappp buat kakak dan ngebuat pengalaman belanja online kakak semakin memuaskann! 😁 Semoga urusannya selalu dilancarkan ya kak! ^YB",2024-07-21 16:23:08,3.77.26
c18bfdb4-1489-4d95-b435-baf06725ffd4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,oke,5,0,3.76.25,2026-07-06 01:34:34,"Hi kak Triwahyuni Axl, makasih ya buat bintang 5 nya, Aku tambah semangat buat kasih pelayanan yg terbaik :) Yuk pantau terus aplikasi Shopee biar nggk ketinggalan promo menarik lainnya. Klo ada pertanyaan terkait Shopee jangan sungkan DM Aku di @Shopee_id ya, sehat selalu ^KF",2026-07-06 02:33:25,3.76.25
a6a50f46-314c-426c-94b0-794a9c2a4a67,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,keren banget,4,0,3.77.26,2026-07-06 01:30:05,"Hai kak Aman Nulloh, makasih banyak ya buat bintang nya. Aku happy banget nih dapet bintang dari kakak. Kalo Kaka udah suka dengan Aplikasi Shopee jangan lupa naikin bintangnya jadi 5 yaa kaa. Kalo ada pertanyaan atau kendala terkait Shopee kakak bisa chat aku aja di DM IG shopee_id / shopeecare_id yaa. Bahagia selalu ^LF",2026-07-06 02:25:53,3.77.26
e2d3cbaf-3327-4147-8c51-cd56e95fc454,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus banget,5,0,3.77.26,2026-07-06 01:28:54,"Hai kak Metha Moe. Makasih buat review dan bintang 5 nya, aku jadi hepi deh. Semoga Shopee selalu bisa ngasih yang terbaik buat kamu agar kamu bisa selalu puas sama Shopee. Semoga juga Shopee gak pernah bikin kamu kecewa ya kak. Kalau ada pertanyaan terkait Shopee boleh kasih tau di DM IG @Shopeecare_id yaa. Terima kasih ^NW",2026-07-06 02:29:22,3.77.26
745eae0f-3ff5-4089-ad5f-13606da7631e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Selama ini sangat baik tak ada kendala.,5,0,3.77.26,2026-07-06 01:27:49,"Hi Kak Tri Sumardiyanto, makasih ya untuk bintangnya. Semoga Kakak suka dan nyaman belanja di Shopee. Jangan lupa juga cek promo belanja, sebelum checkout di Shopee ya Kak. Kalau ada kendala, Kakak bisa chat aku di DM IG @shopee_id aja. Sehat selalu. ^EJ",2026-07-06 02:26:33,3.77.26
fbaa33f2-ff49-43ba-a694-66f70ebae0a2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"2 x memesan dengan Shopepay +coin namun paket tidak kunjung datang smpai lewat 2 hari dari estimasi, apa karena produk yang di beli harganya rendah. rasa kecewa",1,0,,2026-07-06 01:27:48,"Hai kak Abie Muchtahir, maaf ya udah buat risau terkait kendala yang kakak alami. Agar dapat kami prioritaskan pengecekan, infoin kendala kamu melalui DM ke Media Sosial X @shopeeID / @shopeecare ya kak, Stay safe ^ME",2026-07-06 02:34:40,
1c45f19e-35a3-4c1b-9465-c1f89bd65ad6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"terima kasih shopee telah menjadi solusi utk pembelian produk,",5,0,3.77.26,2026-07-06 01:27:24,"Yuhuuu, makasih yaaa bintangnya. Moga Shopee bisa terus menuhin kebutuhan kamu yaw. Cuss meluncur ke aplikasi Shopee versi terbaru jangan sampe kelewatan promo dan kejutan menariknya. Kalo ada kendala, jgn ragu buat colek aku di DM twitter @ShopeeCare atau @ShopeeID yaa. Happy Shopping :) ^FE",2022-09-04 06:24:23,3.77.26
d32452d6-5f6a-4661-85de-70cd28bea1c5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya menyukai nya,5,0,,2026-07-06 01:26:47,"Hai kak Samson Rambo, thanks buat bintang dan reviewnya. Semoga kakak selalu happy belanja kebutuhan dan bertransaksi di shopee. Pantau terus aplikasi dan sosmed shopee biar kakak nggak ketinggalan promo yg ada di shopee. Kalo ada kendala terkait shopee bisa langsung DM IG shopee_id. Happy shopping ^BL",2026-07-06 02:27:29,
d91feac5-fc7d-4f35-a6a6-9eac53183cf6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"dapet murah meriah pelayannya bagus,mbak nya ramah",5,0,3.77.26,2026-07-06 01:23:02,"Hi kak d d, makasih ya buat bintang 5 nya, Aku tambah semangat buat kasih pelayanan yg terbaik :) Yuk pantau terus aplikasi Shopee biar nggk ketinggalan promo menarik lainnya. Klo ada pertanyaan terkait Shopee jangan sungkan DM Aku di @Shopee_id ya, sehat selalu ^KF",2026-07-06 02:26:12,3.77.26
73f4dd0e-8b0a-4d34-853f-d2c1f058c6ee,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,👍,5,0,2.91.26,2026-07-06 01:21:47,"Hai kak hendrokim halim, makasih banyak ya buat bintang nya. Aku happy banget nih dapet bintang dari kakak. Jangan lupa buat pantengin terus sosmed resmi Shopee biar dapetin info terupdatenya ya kak. Kalo ada pertanyaan atau kendala terkait Shopee kakak bisa chat aku aja di DM IG shopee_id / shopeecare_id yaa. Bahagia selalu ^LF",2026-07-06 02:27:25,2.91.26
c9f30fc0-a75b-43e4-ba3d-202c6816fbdd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Easy to use and find a lot of urgent things by this app,5,0,,2026-07-06 01:15:08,"Hi Kak Macha D lova, makasih ya untuk bintangnya. Semoga Kakak suka dan nyaman belanja di Shopee. Jangan lupa juga cek promo belanja, sebelum checkout di Shopee ya Kak. Kalau ada kendala, Kakak bisa chat aku di DM IG @shopee_id aja. Sehat selalu. ^EJ",2026-07-06 02:25:27,
b8e6522d-a3d0-44ad-879b-541670725a05,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,belanja aman dan tenang tanpa Lala lele,5,0,3.77.26,2026-07-06 01:10:41,"Hai kak Revan Putu, makasih banyak ya buat bintang nya. Aku happy banget nih dapet bintang dari kakak. Jangan lupa buat pantengin terus sosmed resmi Shopee biar dapetin info terupdatenya ya kak. Kalo ada pertanyaan atau kendala terkait Shopee kakak bisa chat aku aja di DM IG  yaa ka. Bahagia selalu ^LH",2026-07-06 02:28:33,3.77.26
